Date,UBS - TD Accumulated Oriented Area
2019-06-12,0.00044678240318262575
2019-06-13,0.0004490188117438157
2019-06-14,0.00045981317373306184
2019-06-15,0.0004609440192531238
2019-06-16,0.0004620748647731864
2019-06-17,0.00047124357236369267
2019-06-18,0.0004058605649826071
2019-06-19,0.00037170213982218206
2019-06-20,0.0003644215083098348
2019-06-21,0.00039568057985014265
2019-06-22,0.00039694521982837106
2019-06-23,0.0003982098598065994
2019-06-24,0.0003798302347889579
2019-06-25,0.00040961782934471793
2019-06-26,0.0003878032522087225
2019-06-27,0.0003626129169611412
2019-06-28,0.0003519565154363722
2019-06-29,0.0003532109797465642
2019-06-30,0.00035446544405675517
2019-07-01,0.00033771425878099747
2019-07-02,0.00032722148993435317
2019-07-03,0.00029839665277819855
2019-07-04,0.0002997217109346463
