Date,IBKR - GS Accumulated Oriented Area
2019-05-11,-8.493080918891378e-05
2019-05-12,-8.459181679868756e-05
2019-05-13,-5.2935008872644244e-05
2019-05-14,-6.0012724875057853e-05
2019-05-15,-4.2095877346207846e-05
2019-05-16,-7.2458784897692e-05
2019-05-17,-6.589817830172999e-05
2019-05-18,-6.554484330130057e-05
2019-05-19,-6.519150830087121e-05
2019-05-20,-3.802586824571831e-05
2019-05-21,-4.0921739809004487e-05
2019-05-22,-3.5774155663932116e-05
2019-05-23,-2.4272154939031305e-05
2019-05-24,-2.1897989633383865e-05
2019-05-25,-2.1416522109908746e-05
2019-05-26,-2.093505458643283e-05
2019-05-27,-2.045358706295721e-05
2019-05-28,-4.216019695347785e-06
2019-05-29,6.748665200451048e-06
2019-05-30,1.0054070467362979e-05
2019-05-31,4.027157794548895e-05
2019-06-01,4.082613933373135e-05
2019-06-02,4.138070072197496e-05
2019-06-03,3.586572628185579e-05
2019-06-04,-9.151921511909133e-06
2019-06-05,-3.0958729494560988e-06
2019-06-06,-1.6097822775846442e-05
2019-06-07,-1.803977568352675e-05
2019-06-08,-1.7763666708752794e-05
2019-06-09,-1.748755773397866e-05
2019-06-10,-2.5506903241569642e-05
2019-06-11,-2.4852108350717394e-05
2019-06-12,-1.0455283727272993e-07
2019-06-13,-1.2331553278502956e-05
2019-06-14,-1.6842753961590696e-05
2019-06-15,-1.6585700204634093e-05
2019-06-16,-1.632864644767749e-05
2019-06-17,-1.3052929469349736e-05
2019-06-18,-2.184273693656819e-05
2019-06-19,-1.6623418757683795e-05
2019-06-20,-1.7211834165725652e-05
2019-06-21,1.3448556529915547e-06
2019-06-22,1.914388356253713e-06
2019-06-23,2.4839210595158713e-06
2019-06-24,7.547304777206186e-06
2019-06-25,9.457615710440492e-06
2019-06-26,1.2558907118882394e-05
2019-06-27,-7.583748612343785e-06
2019-06-28,-4.838536734893216e-05
2019-06-29,-4.7729398243253875e-05
2019-06-30,-4.707342913757503e-05
2019-07-01,-4.1536151589139275e-05
2019-07-02,-1.7154541362052238e-05
2019-07-03,-3.731762515222946e-05
2019-07-04,-3.657839518290433e-05
2019-07-05,-6.87991496722027e-05
2019-07-06,-6.815178084758569e-05
2019-07-07,-6.75044120229693e-05
2019-07-08,-1.2137827557414424e-05
2019-07-09,-3.8848039007291895e-05
2019-07-10,-2.4692330768850555e-06
2019-07-11,-3.494801786863664e-05
2019-07-12,-2.396688152784911e-05
2019-07-13,-2.2874166388818073e-05
2019-07-14,-2.178145124978885e-05
2019-07-15,2.9824070018377833e-05
2019-07-16,2.8888269665252827e-05
