Date,UBS - NWG Accumulated Oriented Area
2020-02-29,0.00034983876442782854
2020-03-01,0.0003493444269262334
2020-03-02,0.00046754727091661424
2020-03-03,0.000501823383561334
2020-03-04,0.0005112120246885543
2020-03-05,0.0005773591864096325
2020-03-06,0.0005726590134387268
2020-03-07,0.000571722506844487
2020-03-08,0.0005707860002502469
2020-03-09,0.0005612540562778499
2020-03-10,0.0006949249721452928
2020-03-11,0.0006998148266714287
2020-03-12,0.00040149774957612926
2020-03-13,0.0005909358093710315
2020-03-14,0.0005895750523416651
2020-03-15,0.0005882142953122976
2020-03-16,0.00036896477526805705
2020-03-17,0.00037120621286452983
2020-03-18,0.0009752090846334271
2020-03-19,0.0015154221867219576
2020-03-20,0.0017156786347533896
2020-03-21,0.0017132597032523322
2020-03-22,0.001710840771751279
2020-03-23,0.0013237692622441188
2020-03-24,0.0019374503968984655
2020-03-25,0.001421399322979987
2020-03-26,0.0018087640283591837
2020-03-27,0.0018106779862008134
2020-03-28,0.001808663965702451
2020-03-29,0.0018066499452040875
2020-03-30,0.0019988519722548407
2020-03-31,0.0021084402236878834
2020-04-01,0.0020568828070902257
2020-04-02,0.00212524833763312
2020-04-03,0.002217931755236601
2020-04-04,0.002215291559391304
2020-04-05,0.0022126513635460075
2020-04-06,0.0025310373492631833
2020-04-07,0.0022893568061361624
2020-04-08,0.002161468369916751
2020-04-09,0.002190207470401658
2020-04-10,0.0021882488494469115
2020-04-11,0.002186290228492165
2020-04-12,0.0021843316075374174
2020-04-13,0.002067874826333634
2020-04-14,0.002312751308618012
2020-04-15,0.0023880297028022438
2020-04-16,0.0022594467383743656
2020-04-17,0.002385266941441448
2020-04-18,0.0023829101852445886
2020-04-19,0.002380553429047731
2020-04-20,0.0025504794623796775
2020-04-21,0.0023331916142231386
2020-04-22,0.0022939852388049837
2020-04-23,0.002285427442888542
2020-04-24,0.0023147186307152998
2020-04-25,0.0023122653759060203
2020-04-26,0.002309812121096739
2020-04-27,0.0024717274291796046
2020-04-28,0.0026233095326556755
2020-04-29,0.0028760391969656577
2020-04-30,0.0029643854201656704
2020-05-01,0.0025894941657765434
2020-05-02,0.0025872940520525268
2020-05-03,0.00258509393832851
2020-05-04,0.002572226002279353
2020-05-05,0.0022015326566383886
2020-05-06,0.002349338978049925
2020-05-07,0.0022517952577045214
2020-05-08,0.0022902332336709567
2020-05-09,0.0022880536068133482
2020-05-10,0.0022858739799557397
2020-05-11,0.0023194260294375924
2020-05-12,0.0022904605701836735
2020-05-13,0.0023393583595681514
2020-05-14,0.002232277525182373
2020-05-15,0.0022744213213799444
2020-05-16,0.0022718709561658783
2020-05-17,0.002269320590951812
2020-05-18,0.002585416746104313
2020-05-19,0.0026652067347783088
2020-05-20,0.002749836807459857
2020-05-21,0.002817873497062352
2020-05-22,0.002635315815614756
2020-05-23,0.0026327434215428756
2020-05-24,0.002630171027470994
2020-05-25,0.0026275986333991136
2020-05-26,0.0026934934354799593
2020-05-27,0.002748482125589705
2020-05-28,0.0028066392612226543
2020-05-29,0.002969716416431346
2020-05-30,0.0029672699940686874
2020-05-31,0.002964823571706028
2020-06-01,0.0028603802040178183
2020-06-02,0.0028950909065636483
2020-06-03,0.0030051611164108897
2020-06-04,0.0029651850505219434
2020-06-05,0.0027823835697894208
2020-06-06,0.0027807378124590134
2020-06-07,0.0027790920551286086
2020-06-08,0.002788671037904189
2020-06-09,0.0028471664707040447
2020-06-10,0.0028323561780135495
2020-06-11,0.002773774177417413
2020-06-12,0.0027361984798355424
2020-06-13,0.00273414127788309
2020-06-14,0.0027320840759306377
2020-06-15,0.002765522396902314
2020-06-16,0.002758767551120737
2020-06-17,0.002818298743875145
2020-06-18,0.0028385955015982696
2020-06-19,0.0027590643973731226
2020-06-20,0.002756925516948128
2020-06-21,0.002754786636523134
2020-06-22,0.0028642305841497543
2020-06-23,0.0029258418672589766
2020-06-24,0.0028646724558375604
2020-06-25,0.003061411251002216
2020-06-26,0.0030666385544702406
2020-06-27,0.003064344009849281
2020-06-28,0.003062049465228321
2020-06-29,0.0030931381939646764
2020-06-30,0.003134253418412983
2020-07-01,0.003116028418698461
2020-07-02,0.0030950791450546217
2020-07-03,0.003093001151364936
2020-07-04,0.0030909231576752476
2020-07-05,0.0030888451639855593
