Date,UBS - GS Accumulated Oriented Area
2019-06-12,0.0005344624385013703
2019-06-13,0.000524348602182709
2019-06-14,0.0005293395300680563
2019-06-15,0.0005305834381757342
2019-06-16,0.000531827346283412
2019-06-17,0.0005453818806824976
2019-06-18,0.0004893873310428346
2019-06-19,0.00047801073483156334
2019-06-20,0.0004786296305310722
2019-06-21,0.0004851646465815514
2019-06-22,0.00048648023341849706
2019-06-23,0.0004877958202554428
2019-06-24,0.0004705978536652099
2019-06-25,0.0004936535544660843
2019-06-26,0.00047756332977224225
2019-06-27,0.0004427095324268398
2019-06-28,0.00039218832821597715
2019-06-29,0.0003936373052223001
2019-06-30,0.0003950862822286231
2019-07-01,0.00036931759891994383
2019-07-02,0.0003750571362593964
2019-07-03,0.00036867727470597106
2019-07-04,0.0003700852341993293
2019-07-05,0.0003373936497374706
