Date,UBS - UNCRY Accumulated Oriented Area
2019-09-27,0.0003071663380600394
2019-09-28,0.0003076442586771205
2019-09-29,0.0003081221792942016
2019-09-30,0.00030865551495538846
2019-10-01,0.00033755757134221626
2019-10-02,0.00042610454125240196
2019-10-03,0.0004066811559738521
2019-10-04,0.0004216358091369474
2019-10-05,0.00042202736261520116
2019-10-06,0.000422418916093455
2019-10-07,0.0004052114142999196
2019-10-08,0.0004321528598562222
2019-10-09,0.0004429921497190837
2019-10-10,0.0003351880537654738
2019-10-11,0.0002584049560451988
2019-10-12,0.00025897595295831853
2019-10-13,0.00025954694987143816
2019-10-14,0.00023945861402212932
2019-10-15,0.00017817888491784557
2019-10-16,0.00014065407152791335
2019-10-17,0.00010097270156463625
2019-10-18,5.3580663202539014e-05
2019-10-19,5.444314843512226e-05
2019-10-20,5.530563366770545e-05
2019-10-21,4.100788483371522e-06
2019-10-22,3.170009065134956e-05
2019-10-23,2.3253860607034573e-05
2019-10-24,4.886389220956026e-05
2019-10-25,4.043027295192478e-05
2019-10-26,4.1174300556052806e-05
2019-10-27,4.191832816018083e-05
2019-10-28,1.5273779874882176e-05
2019-10-29,-4.2753740609303786e-06
2019-10-30,6.239441086966887e-05
2019-10-31,7.044568703326143e-05
2019-11-01,2.200084156216256e-05
2019-11-02,2.272378200830153e-05
2019-11-03,2.3446722454440448e-05
2019-11-04,-3.699092614955585e-05
2019-11-05,-5.86880624329716e-05
2019-11-06,-0.00010201445919193604
2019-11-07,-0.00017967216230626632
2019-11-08,-0.0001320006964630346
2019-11-09,-0.00013101616285065686
2019-11-10,-0.0001300316292382789
2019-11-11,-0.00011063616826306294
2019-11-12,-0.0001290979833413156
2019-11-13,-6.668552434381953e-05
2019-11-14,-5.7201904973334656e-05
2019-11-15,-7.23532339944693e-05
2019-11-16,-7.139600861875197e-05
2019-11-17,-7.043878324303394e-05
2019-11-18,-6.948155786731591e-05
2019-11-19,-6.67766614744947e-05
2019-11-20,-4.7589388219663076e-05
2019-11-21,-6.62454201356487e-05
2019-11-22,-7.944620635951254e-05
2019-11-23,-7.846258715991298e-05
2019-11-24,-7.747896796031419e-05
2019-11-25,-0.00013598917635751425
2019-11-26,-9.606904232048165e-05
2019-11-27,-8.951086258963866e-05
2019-11-28,-8.85050736394794e-05
2019-11-29,-6.923969574671341e-05
2019-11-30,-6.822192267028375e-05
