Date,UBS - USB Accumulated Oriented Area
2019-05-22,0.00042413356999423095
2019-05-23,0.00046445519626488174
2019-05-24,0.0004415919951798637
2019-05-25,0.00044207406789070145
2019-05-26,0.00044255614060153864
2019-05-27,0.0004430382133123764
2019-05-28,0.0004966102682922741
2019-05-29,0.0005043266732004073
2019-05-30,0.0005180329205122726
2019-05-31,0.0005423039501926595
2019-06-01,0.0005426117853264743
2019-06-02,0.0005429196204602883
2019-06-03,0.000516697153005994
2019-06-04,0.00042094294511319685
2019-06-05,0.00041482678745009507
2019-06-06,0.00040359316786806927
2019-06-07,0.0004024366715992433
2019-06-08,0.00040304565419795285
2019-06-09,0.0004036546367966624
2019-06-10,0.0003869424641308278
2019-06-11,0.0003687741148548513
