Date,UBS - BMO Accumulated Oriented Area
2020-10-07,0.0032965517216984137
2020-10-08,0.0032512814977437915
2020-10-09,0.003217882490605776
2020-10-10,0.0032178706930294457
2020-10-11,0.0032178588954531193
2020-10-12,0.003215963332213629
2020-10-13,0.0032421819277253963
2020-10-14,0.00323346144253082
2020-10-15,0.0032171432255606383
2020-10-16,0.003276044031293667
2020-10-17,0.003275963151442092
2020-10-18,0.0032758822715905135
2020-10-19,0.0033800279521572782
2020-10-20,0.003500365802793616
2020-10-21,0.003409204917843185
2020-10-22,0.0034345367135860485
2020-10-23,0.003371786760798927
2020-10-24,0.003371657033695349
2020-10-25,0.003371527306591774
2020-10-26,0.0033961736691711774
2020-10-27,0.0033798063182439025
2020-10-28,0.0033827620611502542
2020-10-29,0.003315857586009227
2020-10-30,0.0034641756298333048
2020-10-31,0.003463898315214509
2020-11-01,0.0034636210005957097
2020-11-02,0.0035024604738296155
2020-11-03,0.0036277943641236663
2020-11-04,0.00355567076744315
2020-11-05,0.0036439487284135414
2020-11-06,0.0036911768785487776
2020-11-07,0.0036907022761774383
2020-11-08,0.003690227673806103
2020-11-09,0.0036726886718509836
2020-11-10,0.0036250281136806176
2020-11-11,0.0036294456211258966
2020-11-12,0.00362874048982408
2020-11-13,0.0036438058293070275
2020-11-14,0.0036435118809160275
2020-11-15,0.0036432179325250258
2020-11-16,0.0036809633383160954
2020-11-17,0.003696669721499815
2020-11-18,0.003645263371245709
2020-11-19,0.0036550646789521015
2020-11-20,0.003631459754249436
2020-11-21,0.003631319052425246
2020-11-22,0.003631178350601058
2020-11-23,0.0036156857198368073
2020-11-24,0.0035834609904207707
2020-11-25,0.0035729208923761845
2020-11-26,0.003572986083104301
2020-11-27,0.003569291493534534
2020-11-28,0.0035693714265916873
2020-11-29,0.0035694513596488384
2020-11-30,0.0035860287003924565
2020-12-01,0.003568696093029649
2020-12-02,0.0035539767408320202
2020-12-03,0.003537255687887196
2020-12-04,0.0035120317977737586
2020-12-05,0.003512292406754699
2020-12-06,0.003512553015735638
2020-12-07,0.003531967375653779
2020-12-08,0.0035250829503441043
2020-12-09,0.0035141446723390385
2020-12-10,0.0035022553192720755
2020-12-11,0.003503705971135429
2020-12-12,0.003504059852524599
2020-12-13,0.003504413733913771
2020-12-14,0.003529316207031894
2020-12-15,0.003505136951297556
2020-12-16,0.003514241835106571
2020-12-17,0.0035006667942746486
2020-12-18,0.00353617276442023
2020-12-19,0.0035364473092559206
2020-12-20,0.0035367218540916096
2020-12-21,0.0035212737070474754
2020-12-22,0.003526971922955008
2020-12-23,0.0035346606885908144
2020-12-24,0.0035252875797743815
2020-12-25,0.00352559211223625
2020-12-26,0.0035258966446981162
2020-12-27,0.0035262011771599847
2020-12-28,0.00352692790143935
2020-12-29,0.0035320012758867274
2020-12-30,0.003531665835436163
2020-12-31,0.003527688495072113
2021-01-01,0.0035279848381976633
2021-01-02,0.0035282811813232163
2021-01-03,0.0035285775244487667
2021-01-04,0.003571789731539788
2021-01-05,0.0035666130178234924
2021-01-06,0.0035665317364139597
2021-01-07,0.003574493584361451
