Date,UBS - BCS Accumulated Oriented Area
2019-05-18,0.0002552467559080233
2019-05-19,0.00025554977324693625
2019-05-20,0.0002665016405005927
2019-05-21,0.00025796516726975716
2019-05-22,0.00030162696130765196
2019-05-23,0.00032787912179117144
2019-05-24,0.0003205048401550693
2019-05-25,0.00032057588173063113
2019-05-26,0.0003206469233061935
2019-05-27,0.0003207179648817553
2019-05-28,0.000329105195104805
2019-05-29,0.0003119018296275189
2019-05-30,0.0003352316809639925
2019-05-31,0.0003479775563651384
2019-06-01,0.00034798936118083626
2019-06-02,0.0003480011659965342
2019-06-03,0.000334542066885939
2019-06-04,0.000273253599423064
2019-06-05,0.00029500384795477845
2019-06-06,0.0003070136587301253
2019-06-07,0.00030533604359503385
2019-06-08,0.00030543496096759504
2019-06-09,0.0003055338783401556
2019-06-10,0.00029819147481711987
2019-06-11,0.0002964637570247007
2019-06-12,0.000320220972058878
2019-06-13,0.0003194485579103676
2019-06-14,0.0003298915341841276
2019-06-15,0.0003299253593769192
2019-06-16,0.00032995918456971146
2019-06-17,0.0003332384626412825
2019-06-18,0.00031398697676564
2019-06-19,0.00030441807273884835
2019-06-20,0.00030451419920686696
2019-06-21,0.0003266235631235928
2019-06-22,0.00032666133735722425
2019-06-23,0.00032669911159085495
2019-06-24,0.00033177047784583577
2019-06-25,0.0003479681554105957
2019-06-26,0.00032770407509219766
2019-06-27,0.00031576432929797496
2019-06-28,0.00031596506011776626
2019-06-29,0.0003160287211876799
2019-06-30,0.00031609238225759414
