Date,MS - GS Accumulated Oriented Area
2019-05-19,8.324123659199967e-05
2019-05-20,8.387878507829831e-05
2019-05-21,7.561502683638893e-05
2019-05-22,9.106287718016076e-05
2019-05-23,0.0001050391515595209
2019-05-24,0.00010124730843783002
2019-05-25,0.00010166283097206414
2019-05-26,0.00010207835350629847
2019-05-27,0.00010249387604053303
2019-05-28,0.00011678339374518906
2019-05-29,0.00012048442257847646
2019-05-30,0.00012425101660095393
2019-05-31,0.00014384906068164394
2019-06-01,0.0001441758235059384
2019-06-02,0.00014450258633023354
2019-06-03,0.0001416687973469262
2019-06-04,0.00011498211514642212
2019-06-05,0.0001189976111625012
2019-06-06,0.00011433849294126863
2019-06-07,0.00011533061518580922
