Date,UBS - BBVA Accumulated Oriented Area
2019-06-06,0.00021468430773720029
2019-06-07,0.00021672046493214148
2019-06-08,0.0002170503799227508
2019-06-09,0.00021738029491336007
2019-06-10,0.00018663632175273102
2019-06-11,0.00019125372837560962
2019-06-12,0.00022142403678978727
2019-06-13,0.00022755103321313167
2019-06-14,0.0002479842147439493
2019-06-15,0.0002482821679168891
2019-06-16,0.000248580121089829
2019-06-17,0.00026046174945011067
2019-06-18,0.0002526189246690625
2019-06-19,0.00022394496483958633
2019-06-20,0.00021446309993288065
2019-06-21,0.0002350472925362881
2019-06-22,0.00023538107349157112
2019-06-23,0.00023571485444685416
2019-06-24,0.00023309438839035564
2019-06-25,0.0002479889023783378
2019-06-26,0.00023922270845578794
2019-06-27,0.00023517533102199932
2019-06-28,0.00023535632087233582
2019-06-29,0.00023565593817920073
