Date,UBS - IBKR Accumulated Oriented Area
2021-05-12,0.0028390811429266946
2021-05-13,0.0027930272182081954
2021-05-14,0.0027383731119407905
2021-05-15,0.0027390310766577247
2021-05-16,0.002739689041374659
2021-05-17,0.002757034334864147
2021-05-18,0.0028035761351418802
2021-05-19,0.0028326914253784144
2021-05-20,0.002842475631402284
2021-05-21,0.0028378571854220202
2021-05-22,0.0028381503105460995
2021-05-23,0.002838443435670179
2021-05-24,0.0028547720868056688
2021-05-25,0.0028547893468526785
2021-05-26,0.0028403637180375507
2021-05-27,0.002870888512786293
2021-05-28,0.002871452653616821
2021-05-29,0.0028715600837950677
2021-05-30,0.002871667513973313
2021-05-31,0.0028717749441515613
2021-06-01,0.002869186360059836
2021-06-02,0.0028791103212271935
2021-06-03,0.002836294535015654
2021-06-04,0.0028566162120743344
2021-06-05,0.0028567943231772325
2021-06-06,0.0028569724342801302
2021-06-07,0.0028875679776646825
2021-06-08,0.002884754190782346
2021-06-09,0.0029117761763286835
2021-06-10,0.0028940865540457235
2021-06-11,0.0029020851962959435
2021-06-12,0.0029020372463518878
2021-06-13,0.0029019892964078334
2021-06-14,0.0029306968897742517
2021-06-15,0.002936271521183582
2021-06-16,0.002894833353394559
2021-06-17,0.002879534197935736
2021-06-18,0.0029004939631601637
2021-06-19,0.002900471805798094
2021-06-20,0.0029004496484360217
2021-06-21,0.0028748737740417135
2021-06-22,0.002849150956698294
2021-06-23,0.002816836895656329
2021-06-24,0.002815807819309709
2021-06-25,0.0027763223639887227
2021-06-26,0.0027766303406482565
2021-06-27,0.002776938317307788
2021-06-28,0.0028153674704285586
2021-06-29,0.00277177910637457
2021-06-30,0.002779180458063807
2021-07-01,0.002772771979393958
2021-07-02,0.0027950023193307476
2021-07-03,0.0027952969629129027
2021-07-04,0.0027955916064950556
2021-07-05,0.002795886250077208
2021-07-06,0.0028191191991401026
2021-07-07,0.002810369959739887
2021-07-08,0.0028070143456331935
2021-07-09,0.0027388552702530024
