Date,UBS - ING Accumulated Oriented Area
2019-05-17,0.00025804555736241223
2019-05-18,0.0002583376290311152
2019-05-19,0.0002586297006998177
2019-05-20,0.0002655263808575424
2019-05-21,0.00025056490160901455
2019-05-22,0.00028061090554238536
2019-05-23,0.0003008372049698217
2019-05-24,0.0002844577312020231
2019-05-25,0.0002846683473759919
2019-05-26,0.0002848789635499613
2019-05-27,0.0002850895797239307
2019-05-28,0.0002979054470419446
2019-05-29,0.00029957198773843477
2019-05-30,0.0003066002698850377
2019-05-31,0.0003191233591802125
2019-06-01,0.00031929903617146984
2019-06-02,0.0003194747131627272
2019-06-03,0.00031393073014260916
2019-06-04,0.00025308829726116
2019-06-05,0.0002683473957969507
2019-06-06,0.00027189650014797267
