Date,MS - HDB Accumulated Oriented Area
2019-07-20,-1.1492770016289288e-06
2019-07-21,-1.605677285389565e-07
2019-07-22,1.1946644118096388e-05
2019-07-23,4.4039324219657676e-06
2019-07-24,-4.2077833783954765e-06
2019-07-25,9.885493346084702e-06
2019-07-26,-4.655282566657083e-06
2019-07-27,-4.170098296132839e-06
2019-07-28,-3.6849140256082667e-06
2019-07-29,5.67809759943442e-06
2019-07-30,1.729327928451053e-05
2019-07-31,1.6572102114684116e-05
2019-08-01,4.679963130591285e-05
2019-08-02,6.61341065699067e-05
2019-08-03,6.668006560350199e-05
2019-08-04,6.722602463709756e-05
2019-08-05,0.0001313532889269734
2019-08-06,9.796337106347995e-05
2019-08-07,0.00011520249740061676
2019-08-08,8.845544343082576e-05
2019-08-09,8.30280691597193e-05
2019-08-10,8.354358627151584e-05
2019-08-11,8.405910338331343e-05
2019-08-12,9.868553733938042e-05
2019-08-13,0.00011956839901632698
2019-08-14,0.0001581258087143551
2019-08-15,0.00014916417213806202
2019-08-16,0.00013183572006259366
2019-08-17,0.0001322754474089923
2019-08-18,0.0001327151747553895
2019-08-19,0.00015399452583209755
2019-08-20,0.00014889727573842476
2019-08-21,0.000149683838704684
2019-08-22,0.00020994924968722092
2019-08-23,0.0001933978740434389
2019-08-24,0.00019359798697762785
2019-08-25,0.0001937980999118168
2019-08-26,0.00018203279372429717
2019-08-27,0.00016661287316612692
2019-08-28,0.0001833541850084915
2019-08-29,0.00018498921424375312
2019-08-30,0.00017469045157843908
2019-08-31,0.00017490342200763063
2019-09-01,0.00017511639243682336
2019-09-02,0.0001753293628660161
2019-09-03,0.00021034254340146578
2019-09-04,0.00020937473617299194
2019-09-05,0.00023720412869063755
2019-09-06,0.00022646508268379576
2019-09-07,0.00022643352478483828
2019-09-08,0.00022640196688587978
2019-09-09,0.0002338136602057978
2019-09-10,0.00024305120995243496
2019-09-11,0.00023609655266971016
2019-09-12,0.00023907718088436811
2019-09-13,0.0002442259161315259
2019-09-14,0.00024412173802460094
2019-09-15,0.0002440175599176764
2019-09-16,0.0002464792011244802
2019-09-17,0.00024125015865824828
2019-09-18,0.00024924911775307557
2019-09-19,0.0002475499357951893
2019-09-20,0.00017174517059281887
2019-09-21,0.00017213500635556448
2019-09-22,0.0001725248421183093
2019-09-23,0.0001257432758081245
2019-09-24,0.00017016165809517596
2019-09-25,0.0001703986263688062
2019-09-26,0.00014962398109610015
2019-09-27,0.00016108077598294454
2019-09-28,0.00016175179075012577
2019-09-29,0.00016242280551730735
2019-09-30,0.00019029660702958505
2019-10-01,0.0002009057772109488
2019-10-02,0.00024554140177670446
2019-10-03,0.00020854986601273194
2019-10-04,0.00027914338004041096
2019-10-05,0.00027954470990253634
2019-10-06,0.00027994603976466323
2019-10-07,0.0002624841690138046
2019-10-08,0.00026626175213436326
2019-10-09,0.0002311300656387469
2019-10-10,0.00023573508117147402
2019-10-11,0.00023823775839576912
2019-10-12,0.00023868973261947506
2019-10-13,0.0002391417068431797
2019-10-14,0.00024288251941008166
2019-10-15,0.0002108778118381786
2019-10-16,0.00020104357042834917
2019-10-17,0.000184239721891444
2019-10-18,0.00019371955721636985
2019-10-19,0.00019422395170450192
2019-10-20,0.00019472834619263396
2019-10-21,0.0001498901768234624
2019-10-22,0.00014087257854661028
2019-10-23,0.0001246302750892408
2019-10-24,0.0001232147242519027
