Date,GS - HDB Accumulated Oriented Area
2019-05-14,0.00014181245873963613
2019-05-15,0.00013253218061611553
2019-05-16,0.00013460516142652554
2019-05-17,0.0001440379923478326
2019-05-18,0.00014443972442964887
2019-05-19,0.0001448414565114649
2019-05-20,0.000195806557779951
2019-05-21,0.0001734087891789776
2019-05-22,0.00020338636758367154
2019-05-23,0.00021550081538388843
2019-05-24,0.00022252501247158336
2019-05-25,0.000223230123684617
2019-05-26,0.0002239352348976516
2019-05-27,0.00022464034611068673
2019-05-28,0.0002626764391208356
2019-05-29,0.000274907112419431
2019-05-30,0.0002832916144096335
2019-05-31,0.00033209963450568685
2019-06-01,0.00033296840285825885
2019-06-02,0.00033383717121083237
2019-06-03,0.00032568701357869054
2019-06-04,0.0002541958728682579
2019-06-05,0.00027303106464993305
2019-06-06,0.000257778661167375
2019-06-07,0.0002610822005929902
2019-06-08,0.00026207651472943293
2019-06-09,0.00026307082886587764
2019-06-10,0.00021374312145721447
2019-06-11,0.0002140940814394459
2019-06-12,0.00026199365589050225
2019-06-13,0.0002469842201234508
2019-06-14,0.00024799835498473164
2019-06-15,0.0002489563184522867
2019-06-16,0.0002499142819198415
2019-06-17,0.00025682039950290526
2019-06-18,0.00021282696951062437
2019-06-19,0.00020611816422004878
2019-06-20,0.0002159254566062946
2019-06-21,0.00020533988822011299
2019-06-22,0.00020619503402977737
2019-06-23,0.00020705017983944224
2019-06-24,0.0001951846258387295
2019-06-25,0.00021131133122836851
2019-06-26,0.00020320857385428687
2019-06-27,0.00018423225324429722
2019-06-28,0.00013503381568135176
2019-06-29,0.00013594720297807665
2019-06-30,0.00013686059027480157
2019-07-01,0.00011983622187647028
2019-07-02,0.00013387506051519576
2019-07-03,0.00013420918352703682
2019-07-04,0.00013516249958527598
2019-07-05,0.00010162467851382743
2019-07-06,0.00010249891750579044
2019-07-07,0.00010337315649775237
2019-07-08,9.455243092393447e-05
2019-07-09,6.120723235152886e-05
2019-07-10,9.921738032256495e-05
2019-07-11,5.9251966398051744e-05
2019-07-12,1.189527477000126e-05
2019-07-13,1.2555735302849334e-05
2019-07-14,1.3216195835696946e-05
2019-07-15,3.4842897369706595e-05
2019-07-16,-6.976411841647708e-06
2019-07-17,2.1031139681675646e-05
2019-07-18,2.3967879247316294e-05
2019-07-19,-1.0282484964612909e-05
2019-07-20,-9.730797319621124e-06
2019-07-21,-9.179109674632035e-06
2019-07-22,-8.154826072124903e-05
2019-07-23,-0.00013573536343801943
2019-07-24,-0.00012292737114407172
2019-07-25,-0.00012026594159774114
2019-07-26,-0.00014848200446602487
2019-07-27,-0.00014837319814318966
2019-07-28,-0.00014826439182035354
2019-07-29,-0.00014375479978864184
2019-07-30,-0.00016443827212301394
2019-07-31,-0.00014333903725612698
2019-08-01,-0.00011669930846600288
2019-08-02,-0.00011662812070599486
2019-08-03,-0.00011647620246503686
2019-08-04,-0.0001163242842240782
2019-08-05,-0.0001339358062938622
2019-08-06,-0.0001246265268820432
2019-08-07,-0.00013109155319008934
2019-08-08,-0.00012001209047303162
2019-08-09,-0.00011722976712583364
2019-08-10,-0.00011710182820745194
2019-08-11,-0.00011697388928907054
2019-08-12,-0.00010043130350708263
2019-08-13,-0.0001184792203386416
2019-08-14,-0.00011531500209503505
2019-08-15,-0.00011427406648557456
2019-08-16,-0.00011627705726287291
2019-08-17,-0.00011619765883397833
2019-08-18,-0.00011611826040508334
2019-08-19,-0.00012764785866800396
2019-08-20,-0.0001229942830794059
2019-08-21,-0.00012388538807852552
2019-08-22,-0.0001454820856060814
2019-08-23,-0.00014825324513052465
2019-08-24,-0.00014836218213914472
2019-08-25,-0.00014847111914776477
2019-08-26,-0.00014393129018914767
2019-08-27,-0.0001403316750772889
2019-08-28,-0.0001443742014212939
2019-08-29,-0.00014345042755164523
2019-08-30,-0.0001382172350730566
2019-08-31,-0.00013831154656634582
2019-09-01,-0.00013840585805963563
2019-09-02,-0.00013850016955292544
2019-09-03,-0.0001553946779805325
2019-09-04,-0.00015043217105537596
2019-09-05,-0.00015275456761737246
2019-09-06,-0.0001469316783901107
2019-09-07,-0.0001472327121054406
2019-09-08,-0.0001475337458207698
2019-09-09,-0.00013908301612739206
2019-09-10,-0.0001391399008345197
2019-09-11,-0.00012179192597887069
2019-09-12,-0.00012041187281844921
2019-09-13,-0.00011842630479627917
2019-09-14,-0.00011880004258110843
2019-09-15,-0.00011917378036593872
2019-09-16,-0.0001391073827565562
2019-09-17,-0.00014207275687304655
2019-09-18,-0.00015144311586877445
2019-09-19,-0.0001611677424866216
2019-09-20,-5.894232519808692e-05
2019-09-21,-5.890596597742558e-05
2019-09-22,-5.886960675676365e-05
2019-09-23,3.739998673078776e-07
2019-09-24,6.23488721829865e-06
2019-09-25,-7.612302235265724e-06
2019-09-26,2.1590867662390553e-05
2019-09-27,8.17800048662394e-06
2019-09-28,8.459143063107684e-06
2019-09-29,8.740285639590639e-06
2019-09-30,-2.4048216904890734e-07
2019-10-01,1.823596532116797e-05
2019-10-02,2.67938255528865e-05
2019-10-03,3.2909760883689516e-05
2019-10-04,1.579802326102097e-05
2019-10-05,1.5862095803035733e-05
2019-10-06,1.592616834505044e-05
2019-10-07,1.9568675208666786e-05
2019-10-08,2.5691911320696568e-05
2019-10-09,2.809137884840801e-05
2019-10-10,1.963241116494291e-05
2019-10-11,7.003777928267826e-06
2019-10-12,7.113136056880346e-06
2019-10-13,7.222494185493647e-06
2019-10-14,3.184979910710655e-06
2019-10-15,1.3786053253523117e-05
2019-10-16,1.419614713593989e-05
2019-10-17,2.138756971079422e-05
2019-10-18,1.532576052365721e-05
2019-10-19,1.551747794917766e-05
2019-10-20,1.5709195374698633e-05
2019-10-21,2.2581848823276393e-05
2019-10-22,2.3389082246257598e-05
2019-10-23,2.3133451979490452e-05
