Date,UBS - RY Accumulated Oriented Area
2019-06-11,0.0005150365831889221
2019-06-12,0.0005740411034225734
2019-06-13,0.0005632965583963366
2019-06-14,0.0005887794410726367
2019-06-15,0.0005902409285915733
2019-06-16,0.0005917024161105076
2019-06-17,0.0006004547769032127
2019-06-18,0.0005087925227742281
2019-06-19,0.0004766602816130593
2019-06-20,0.0004503639257610073
2019-06-21,0.0004919043295837427
2019-06-22,0.0004935793197294888
2019-06-23,0.000495254309875235
2019-06-24,0.0004877699476225006
2019-06-25,0.0005262007461493082
2019-06-26,0.0005098153600305898
2019-06-27,0.0004871303713999398
2019-06-28,0.0004719946669238216
2019-06-29,0.00047356052360037046
2019-06-30,0.0004751263802769168
2019-07-01,0.00045764109953894057
2019-07-02,0.0004436817126585209
2019-07-03,0.0004064725730237615
