Date,UBS - SCHW Accumulated Oriented Area
2019-06-11,0.00033879232712255396
2019-06-12,0.000355448189109684
2019-06-13,0.0003434598274706656
2019-06-14,0.00038688514054829686
2019-06-15,0.00038726063251630073
2019-06-16,0.0003876361244843033
2019-06-17,0.0003997451816448394
2019-06-18,0.00040564916506144927
2019-06-19,0.0004551558919103783
2019-06-20,0.0004499151945035412
2019-06-21,0.00041345075630393527
2019-06-22,0.00041373814507767354
2019-06-23,0.00041402553385141104
2019-06-24,0.00047853920016598626
2019-06-25,0.0004641467907495491
2019-06-26,0.00045853956435154867
2019-06-27,0.0004567970265900312
2019-06-28,0.0004584331734278747
2019-06-29,0.00045857674476969994
2019-06-30,0.00045872031611152446
2019-07-01,0.0004433757123250015
2019-07-02,0.000467031870626395
2019-07-03,0.0004646835250458226
2019-07-04,0.00046479536445168525
