Date,UBS - PNC Accumulated Oriented Area
2019-08-12,0.0005834816687879473
2019-08-13,0.0005303751981315251
2019-08-14,0.0007271130369546863
2019-08-15,0.0007240214481519713
2019-08-16,0.0006503105688653184
2019-08-17,0.0006510805960109967
2019-08-18,0.000651850623156678
2019-08-19,0.0006106517528570973
2019-08-20,0.0006756107362445407
2019-08-21,0.0006805758366432413
2019-08-22,0.0006654319727255891
2019-08-23,0.0007613382943636749
2019-08-24,0.0007619278891242773
2019-08-25,0.0007625174838848796
2019-08-26,0.0007342437651786883
2019-08-27,0.0007344598295413397
2019-08-28,0.0006647358708704262
2019-08-29,0.0006144663134318816
2019-08-30,0.000597171113067979
2019-08-31,0.0005979770776139615
2019-09-01,0.0005987830421599441
2019-09-02,0.0005995890067059298
2019-09-03,0.0006659153280443475
2019-09-04,0.0006115938157826875
2019-09-05,0.0005212399371188575
2019-09-06,0.00051303667641952
2019-09-07,0.0005138958218461547
2019-09-08,0.0005147549672727867
2019-09-09,0.0003878855583880691
2019-09-10,0.00031657764003730236
2019-09-11,0.0003408604917351725
2019-09-12,0.0003265976322441556
2019-09-13,0.0002673891920957894
2019-09-14,0.0002683706614215401
2019-09-15,0.00026935213074729075
2019-09-16,0.0002704404147332082
2019-09-17,0.00031308250843634306
2019-09-18,0.00027812805709362355
2019-09-19,0.0002710752183147169
2019-09-20,0.00028449325500477205
2019-09-21,0.00028558860966381393
2019-09-22,0.0002866839643228535
2019-09-23,0.0002964403514951225
2019-09-24,0.00033338531640702326
2019-09-25,0.0003336874164160604
2019-09-26,0.0003419368533219529
2019-09-27,0.0003216978399173996
2019-09-28,0.00032280065682275855
2019-09-29,0.00032390347372811756
2019-09-30,0.00033096882173139875
2019-10-01,0.0004154925830779535
2019-10-02,0.0004977495002461388
2019-10-03,0.00048300883761914765
2019-10-04,0.00037462178421049516
2019-10-05,0.00037584780635433693
2019-10-06,0.00037707382849818186
2019-10-07,0.0003987679479385461
2019-10-08,0.0005109348456973926
2019-10-09,0.0005028153592872832
2019-10-10,0.0004309629166189649
2019-10-11,0.0003421965438835125
2019-10-12,0.0003433438155653798
2019-10-13,0.00034449108724724637
2019-10-14,0.0003500467430304459
2019-10-15,0.0002912338986795494
2019-10-16,0.000312990130342515
2019-10-17,0.0002767503204552187
2019-10-18,0.00024620896619018085
2019-10-19,0.00024742092882107164
2019-10-20,0.0002486328914519648
2019-10-21,0.00017965334405367937
2019-10-22,0.00018918586029746572
2019-10-23,0.00014932451431574662
2019-10-24,0.00015497861929456664
2019-10-25,0.00012424398188809824
2019-10-26,0.00012548764626933885
2019-10-27,0.00012673131065057952
2019-10-28,7.79534056055007e-05
2019-10-29,4.75521085136453e-05
2019-10-30,0.00010153508057307489
2019-10-31,0.00013257895146740194
2019-11-01,6.54438551556737e-05
2019-11-02,6.672715492218558e-05
2019-11-03,6.801045468869736e-05
2019-11-04,-1.8287057106132943e-05
2019-11-05,-3.7211553116541765e-05
2019-11-06,-4.400565015049232e-05
2019-11-07,-8.933681040303849e-05
2019-11-08,-5.522354429753128e-05
2019-11-09,-5.390563680599393e-05
2019-11-10,-5.258772931445815e-05
2019-11-11,-5.224138704079174e-05
2019-11-12,-3.437442643778113e-05
2019-11-13,2.3118904547050575e-05
2019-11-14,4.937584896752952e-05
2019-11-15,1.3846681036547715e-05
2019-11-16,1.515492590927251e-05
2019-11-17,1.646317078199866e-05
2019-11-18,6.349165755892251e-06
2019-11-19,2.1966960987886326e-05
2019-11-20,4.112515729325902e-05
2019-11-21,3.965280795574364e-05
2019-11-22,-6.650848970618007e-06
2019-11-23,-5.2760424747743165e-06
2019-11-24,-3.901235978933824e-06
2019-11-25,-3.9452767445974975e-05
2019-11-26,2.6545948239798853e-06
2019-11-27,-1.414174210416703e-05
2019-11-28,-1.2759273034800218e-05
2019-11-29,1.3312491104077893e-05
2019-11-30,1.4712480122701745e-05
2019-12-01,1.6112469141325815e-05
2019-12-02,5.4401725177021876e-05
2019-12-03,0.0001292345769252458
2019-12-04,8.848974036998524e-05
2019-12-05,6.823634084249171e-05
2019-12-06,3.635983117875139e-05
2019-12-07,3.780251513790366e-05
2019-12-08,3.924519909705816e-05
2019-12-09,4.455955119127595e-05
2019-12-10,3.464436131853858e-05
2019-12-11,5.264726817679735e-05
2019-12-12,-6.610010598984888e-05
2019-12-13,-8.715489480455552e-05
2019-12-14,-8.559519749802027e-05
2019-12-15,-8.403550019148517e-05
2019-12-16,-0.00013148715608623292
2019-12-17,-0.00017331535375250331
2019-12-18,-0.0001377645885486102
2019-12-19,-0.00013237752101212833
2019-12-20,-0.00011936848281066765
2019-12-21,-0.00011779196587311333
2019-12-22,-0.0001162154489355571
2019-12-23,-0.00012101722241936256
2019-12-24,-0.00012801212030998305
2019-12-25,-0.00012642147731957773
2019-12-26,-0.00014917352519144703
2019-12-27,-0.00014861083178146394
2019-12-28,-0.00014702193666449645
2019-12-29,-0.00014543304154753032
2019-12-30,-0.00015459389760983836
2019-12-31,-0.00014849865991093883
2020-01-01,-0.00014696253526759614
2020-01-02,-0.00023623699181225143
2020-01-03,-0.00016856427292843897
2020-01-04,-0.00016707746454682664
2020-01-05,-0.0001655906561652142
2020-01-06,-0.00015345582699638087
2020-01-07,-0.000198167918262169
2020-01-08,-0.0002500233475077527
2020-01-09,-0.000271865997505502
2020-01-10,-0.00021288126259114173
2020-01-11,-0.0002114502210259908
2020-01-12,-0.00021001917946083986
2020-01-13,-0.00024193488528964448
2020-01-14,-0.0002559645156966185
2020-01-15,-0.00018997329045155467
2020-01-16,-0.00019865173761519298
2020-01-17,-0.00019264837668807837
2020-01-18,-0.00019141922663237594
2020-01-19,-0.0001901900765766735
2020-01-20,-0.00018896092652096984
2020-01-21,-4.8814857508105156e-05
2020-01-22,-0.00011533062539193119
