Date,UBS - IBN Accumulated Oriented Area
2019-07-27,-0.00033305962171723745
2019-07-28,-0.00033140792050161973
2019-07-29,-0.0004988668275623844
2019-07-30,-0.00039201219670304205
2019-07-31,-0.00039345832468116733
2019-08-01,-0.0002973833539229876
2019-08-02,-0.00022955630136775864
2019-08-03,-0.00022779279847852076
2019-08-04,-0.0002260292955892843
2019-08-05,-8.876925981775653e-05
2019-08-06,-0.00020392524844020272
2019-08-07,-0.00017305952744072644
2019-08-08,-0.0002752773974536033
2019-08-09,-0.0002451734562049075
2019-08-10,-0.00024319685404859695
2019-08-11,-0.00024122025189228475
2019-08-12,-0.00021040080239930712
2019-08-13,-0.0001841252629899228
2019-08-14,-0.00014213413950090508
2019-08-15,-0.00018159073127028253
2019-08-16,-0.0002467790278064131
2019-08-17,-0.0002444278730780213
2019-08-18,-0.00024207671834962748
2019-08-19,-0.00021122504302019656
2019-08-20,-0.00018135374877009544
2019-08-21,-0.00014555150942302715
2019-08-22,0.00017249685091807427
2019-08-23,-3.5116637356686614e-05
2019-08-24,-3.311985681068085e-05
2019-08-25,-3.112307626467308e-05
2019-08-26,-6.510131473691792e-05
2019-08-27,-0.00015695373870340036
2019-08-28,-6.487703679508325e-05
2019-08-29,-3.0009845887933e-05
2019-08-30,-2.9981347147124435e-05
2019-08-31,-2.805071485975853e-05
2019-09-01,-2.6120082572391233e-05
2019-09-02,-2.41894502850258e-05
2019-09-03,0.00015127659833855895
2019-09-04,0.0001340516892175036
2019-09-05,0.00023984165860403746
2019-09-06,0.0001800589440677431
2019-09-07,0.00018154930307223412
2019-09-08,0.00018303966207672674
2019-09-09,0.00019037976356941423
2019-09-10,0.00027568768898740754
2019-09-11,0.00021306789429473174
2019-09-12,0.00015476931274304427
2019-09-13,0.0001337560071262662
2019-09-14,0.00013493080474310135
2019-09-15,0.00013610560235993767
2019-09-16,0.00020601048207675527
2019-09-17,0.00018135706189323432
2019-09-18,0.00024161078054707875
2019-09-19,0.0003107203548309927
2019-09-20,1.760379426759153e-05
2019-09-21,1.918568035320698e-05
2019-09-22,2.0767566438823844e-05
2019-09-23,-0.0001656802646967377
2019-09-24,-0.00011278007460046262
2019-09-25,-9.956803608209244e-05
2019-09-26,-0.00017462861309787092
2019-09-27,-0.0001369696788947934
2019-09-28,-0.00013495511278606464
2019-09-29,-0.0001329405466773344
2019-09-30,-5.156615324238139e-05
2019-10-01,2.6653209030274986e-05
2019-10-02,4.3860313611056886e-05
2019-10-03,9.66913286759001e-06
2019-10-04,0.00011195071275683063
2019-10-05,0.00011400600893840726
2019-10-06,0.00011606130511998574
2019-10-07,7.838147322823316e-05
2019-10-08,0.00010513910900306806
2019-10-09,-1.4475880455422714e-05
2019-10-10,2.7166877061384142e-05
2019-10-11,5.566437862306735e-05
2019-10-12,5.7534781422620616e-05
2019-10-13,5.940518422217575e-05
2019-10-14,5.903323644788987e-05
2019-10-15,9.482536542199648e-06
2019-10-16,-1.6889370054295956e-05
2019-10-17,-1.0843500654266353e-05
2019-10-18,-1.9287669236593802e-05
2019-10-19,-1.744998965612726e-05
2019-10-20,-1.5612310075660758e-05
2019-10-21,-2.2657620666828137e-05
2019-10-22,-0.00011140398407379194
2019-10-23,-0.00015473227193026312
2019-10-24,-0.0001671387042801243
2019-10-25,-0.00022974470640822758
2019-10-26,-0.0002277951904574204
2019-10-27,-0.00022584567450661326
2019-10-28,-0.0002595431731821841
2019-10-29,-0.000304873530477338
2019-10-30,-0.00025232663800438173
2019-10-31,-0.0002139737856609083
2019-11-01,-0.000239081352922853
2019-11-02,-0.00023724343225113768
2019-11-03,-0.00023540551157942243
2019-11-04,-0.0002895313620083426
