Date,UBS - BAC Accumulated Oriented Area
2019-06-12,0.0005815795618231546
2019-06-13,0.0005880836956677005
2019-06-14,0.000597416269026132
2019-06-15,0.0005982527752591577
2019-06-16,0.0005990892814921829
2019-06-17,0.000614470635852642
2019-06-18,0.0005435590819667963
2019-06-19,0.0005532819973382579
2019-06-20,0.0005573632877226672
2019-06-21,0.0005815941953735916
2019-06-22,0.0005824259957953637
2019-06-23,0.0005832577962171368
2019-06-24,0.0005919048827735804
2019-06-25,0.0006164040005472119
2019-06-26,0.0005968325200434467
2019-06-27,0.0005611578847692289
2019-06-28,0.000511713165555547
2019-06-29,0.0005126719472005966
2019-06-30,0.0005136307288456455
2019-07-01,0.0004819370012645279
2019-07-02,0.0004942601505540988
2019-07-03,0.0004924236353506036
2019-07-04,0.0004933641793262948
2019-07-05,0.0004616572766682849
