Date,IBKR - HDB Accumulated Oriented Area
2019-05-13,-2.3591548728768033e-05
2019-05-14,-3.360408704549348e-05
2019-05-15,-6.891622060846795e-06
2019-05-16,-4.61903397379559e-05
2019-05-17,-3.724700364494255e-05
2019-05-18,-3.675975257572587e-05
2019-05-19,-3.627250150650924e-05
2019-05-20,-1.0837995269923312e-07
2019-05-21,5.238877384988738e-06
2019-05-22,6.147598612208109e-07
2019-05-23,2.2716310717009092e-05
2019-05-24,2.282093691231348e-05
2019-05-25,2.362632831221857e-05
2019-05-26,2.4431719712125187e-05
2019-05-27,2.5237111112030278e-05
2019-05-28,3.6017395411681524e-05
2019-05-29,7.421428198875153e-05
2019-05-30,6.641771703989728e-05
2019-05-31,0.00013612177638903572
2019-06-01,0.00013710021496653207
2019-06-02,0.00013807865354402605
2019-06-03,0.0001334094352184222
2019-06-04,1.8091755654795058e-05
2019-06-05,6.42039111406149e-06
2019-06-06,-7.052978299247151e-05
2019-06-07,-9.076820793906352e-05
2019-06-08,-8.977718255502708e-05
2019-06-09,-8.878615717099189e-05
2019-06-10,-8.950919598275349e-05
2019-06-11,-8.684081814202799e-05
2019-06-12,-1.1501908858037031e-05
2019-06-13,-7.132603956613687e-05
2019-06-14,-0.00010093802384630567
2019-06-15,-9.998644774687704e-05
2019-06-16,-9.903487164744816e-05
2019-06-17,-8.280838611930303e-05
2019-06-18,-9.6936762580273e-05
2019-06-19,-7.263228988043462e-05
2019-06-20,-8.16334059344047e-05
2019-06-21,2.1861700854551016e-06
2019-06-22,3.1577677204666502e-06
2019-06-23,4.129365355477521e-06
2019-06-24,4.000352653155057e-05
2019-06-25,2.1278980878950175e-05
2019-06-26,4.672959120141957e-05
2019-06-27,5.893289592977344e-06
2019-06-28,-6.392408299458387e-05
2019-06-29,-6.286919765590523e-05
2019-06-30,-6.181431231722529e-05
2019-07-01,-3.888481969023759e-05
2019-07-02,6.498152724183985e-06
2019-07-03,-4.133075923574769e-05
2019-07-04,-4.021015238433689e-05
2019-07-05,-9.436841360339139e-05
2019-07-06,-9.335173143133483e-05
2019-07-07,-9.233504925927917e-05
2019-07-08,2.5371764045617137e-05
2019-07-09,3.1266867677434197e-06
2019-07-10,3.822890317917777e-05
2019-07-11,1.3014645910042934e-05
2019-07-12,6.618155417801737e-05
2019-07-13,6.716645841120128e-05
2019-07-14,6.815136264438309e-05
2019-07-15,0.00012244870722877721
2019-07-16,0.00016859240281690487
2019-07-17,0.00021769804969743004
2019-07-18,0.00015537754052829042
2019-07-19,0.0002350180751590909
2019-07-20,0.00023602204236662384
2019-07-21,0.00023702600957415849
2019-07-22,0.000346288701253424
2019-07-23,0.0003646557688771332
2019-07-24,0.0003454443864562354
2019-07-25,0.0003474878802400618
2019-07-26,0.00035409447785131776
2019-07-27,0.0003547135159718539
2019-07-28,0.0003553325540923884
2019-07-29,0.00036322852921092725
2019-07-30,0.0003700324359295114
2019-07-31,0.00035014636175883867
2019-08-01,0.0003625185273294126
2019-08-02,0.0003902184695249928
2019-08-03,0.0003908056724422329
2019-08-04,0.0003913928753594734
2019-08-05,0.0004893469666848833
2019-08-06,0.00044207235233988053
2019-08-07,0.00047031619546574534
2019-08-08,0.0004276748549372837
2019-08-09,0.00043495167000324466
2019-08-10,0.00043561548479179686
2019-08-11,0.00043627929958035177
2019-08-12,0.0004624502947563245
2019-08-13,0.000507587051633945
2019-08-14,0.0005756763020163658
2019-08-15,0.0005558059662330562
2019-08-16,0.0005244666211729871
2019-08-17,0.0005250691553251921
2019-08-18,0.0005256716894773944
2019-08-19,0.000562941678592924
2019-08-20,0.0005544169415781931
2019-08-21,0.0005559080634541728
2019-08-22,0.0006696261725549926
2019-08-23,0.0006397139962271425
2019-08-24,0.000640188740324493
2019-08-25,0.0006406634844218432
2019-08-26,0.000609657614078535
2019-08-27,0.0005761477255556565
2019-08-28,0.0006116651421997507
2019-08-29,0.0006132828519495041
2019-08-30,0.0005896690773498648
2019-08-31,0.0005901303072297951
2019-09-01,0.0005905915371097281
2019-09-02,0.0005910527669896609
2019-09-03,0.0006685455008689713
2019-09-04,0.0006595879712314692
2019-09-05,0.0007157077312243182
2019-09-06,0.0007065141800515225
2019-09-07,0.0007067304371355053
2019-09-08,0.0007069466942194859
2019-09-09,0.000706405702391552
2019-09-10,0.0007262852210161294
2019-09-11,0.0007140487788732751
2019-09-12,0.0007191428215679465
2019-09-13,0.0007214981575790494
2019-09-14,0.0007216207995027517
2019-09-15,0.0007217434414264553
2019-09-16,0.0007428780060789628
2019-09-17,0.0007408354780877571
2019-09-18,0.0007523190262033312
2019-09-19,0.0007590275184246096
2019-09-20,0.000615568143204996
2019-09-21,0.0006159948166687097
2019-09-22,0.0006164214901324217
2019-09-23,0.0005340800768894303
