Date,UBS - HDB Accumulated Oriented Area
2019-12-09,0.00011564351444522746
2019-12-10,9.950312720965581e-05
2019-12-11,9.660893573128063e-05
2019-12-12,3.634795863764745e-05
2019-12-13,1.5303429068175235e-05
2019-12-14,1.6674428319052016e-05
2019-12-15,1.8045427569930044e-05
2019-12-16,-8.198920944315876e-06
2019-12-17,-6.960453932965512e-05
2019-12-18,-5.587700106022146e-05
2019-12-19,-3.4053122438767655e-05
2019-12-20,-2.9453622313587086e-05
2019-12-21,-2.8010829031715887e-05
2019-12-22,-2.656803574984233e-05
2019-12-23,-8.966658042723483e-06
2019-12-24,-5.970826466524177e-06
2019-12-25,-4.597037334423676e-06
2019-12-26,3.6017583569571414e-06
2019-12-27,8.404824651894619e-06
2019-12-28,9.693669018942937e-06
2019-12-29,1.0982513385989086e-05
2019-12-30,4.028271297851964e-06
2019-12-31,-1.0506939269103275e-05
2020-01-01,-9.207614237679256e-06
2020-01-02,-8.33373435178169e-05
2020-01-03,9.288525219504319e-06
2020-01-04,1.0420744243626686e-05
2020-01-05,1.155296326775106e-05
2020-01-06,5.66106146478942e-05
2020-01-07,3.0996165998725385e-05
2020-01-08,-9.89412871342998e-06
2020-01-09,-4.54526045333323e-05
2020-01-10,-1.6078586259780567e-06
2020-01-11,-5.406525083424341e-07
2020-01-12,5.265536092923212e-07
2020-01-13,-4.3721832017587026e-05
2020-01-14,-4.987748199908958e-05
2020-01-15,-2.9196447543046184e-05
2020-01-16,-2.3720845092824682e-05
2020-01-17,-1.6810604833311822e-05
2020-01-18,-1.5791382125679107e-05
2020-01-19,-1.4772159418046337e-05
2020-01-20,-1.3752936710415925e-05
2020-01-21,0.00015681611365990332
2020-01-22,0.0001362514477426851
2020-01-23,0.00014460521710809102
2020-01-24,0.00014074111864832099
2020-01-25,0.00014158737738130254
2020-01-26,0.00014243363611428627
2020-01-27,0.00020939026719658067
2020-01-28,0.0002135924445362809
2020-01-29,0.00020450253271734868
2020-01-30,0.00022505418303343412
2020-01-31,0.0002510898990680321
2020-02-01,0.00025177560578760235
2020-02-02,0.00025246131250717
2020-02-03,0.00024145809760562836
2020-02-04,0.00016610377994155103
2020-02-05,0.00013942615821595648
2020-02-06,0.00010719470402384823
2020-02-07,0.00013054224684321501
2020-02-08,0.00013127711578956607
2020-02-09,0.00013201198473591715
2020-02-10,0.0001207778461375783
2020-02-11,8.960456911515389e-05
2020-02-12,6.047703243599166e-05
2020-02-13,8.214429969074326e-05
2020-02-14,0.00012199243259263055
2020-02-15,0.00012269191040449552
2020-02-16,0.0001233913882163627
2020-02-17,0.0001240908660282298
2020-02-18,0.00012292440046059286
2020-02-19,0.00013305511324755096
2020-02-20,0.0001408947108643933
2020-02-21,0.0001750619029082739
2020-02-22,0.00017566016630593602
2020-02-23,0.0001762584297035962
2020-02-24,0.0002483905140071873
2020-02-25,0.000310821642358078
2020-02-26,0.0003312281930309225
2020-02-27,0.0003632712578749142
2020-02-28,0.0003728138530214034
2020-02-29,0.0003735165422796434
2020-03-01,0.00037421923153788757
2020-03-02,0.0003964722391048424
2020-03-03,0.0004682288312206922
2020-03-04,0.0005494143017999621
2020-03-05,0.0006489013456521357
2020-03-06,0.0006465424849086442
2020-03-07,0.0006469511675511073
2020-03-08,0.0006473598501935652
2020-03-09,0.0007532448861268808
2020-03-10,0.0006722755489648267
2020-03-11,0.0008939760497871056
2020-03-12,0.0011757982142504395
2020-03-13,0.0008829687359608236
2020-03-14,0.0008832507149324445
2020-03-15,0.0008835326939040653
2020-03-16,0.001277032908182515
2020-03-17,0.0007679719220591945
2020-03-18,0.0018691850932265517
2020-03-19,0.0033819293898923394
2020-03-20,0.003240461336149796
2020-03-21,0.00323914823540036
2020-03-22,0.003237835134650931
2020-03-23,0.004773080533057505
2020-03-24,0.005035675444718965
2020-03-25,0.004300109361410192
2020-03-26,0.0038968995574450724
2020-03-27,0.003961503486062017
2020-03-28,0.0039604526323538825
2020-03-29,0.003959401778645741
2020-03-30,0.004164342107185403
2020-03-31,0.004057074988394275
2020-04-01,0.004327959265854128
2020-04-02,0.004052816132284718
2020-04-03,0.0046328629572694
2020-04-04,0.004631126466082213
2020-04-05,0.004629389974895027
2020-04-06,0.004662478521435036
2020-04-07,0.004667944998181626
2020-04-08,0.0043101765188151035
2020-04-09,0.00422795249245689
2020-04-10,0.004226956019000111
2020-04-11,0.0042259595455433245
2020-04-12,0.004224963072086543
2020-04-13,0.004231688879425358
2020-04-14,0.004096030047424412
2020-04-15,0.004254285255729635
