Date,UBS - MBFJF Accumulated Oriented Area
2020-12-04,0.0038852968222763294
2020-12-05,0.0038838899545671777
2020-12-06,0.0038824830868580264
2020-12-07,0.003923433693806372
2020-12-08,0.0038758689949084284
2020-12-09,0.0038458787582023248
2020-12-10,0.003835535666918488
2020-12-11,0.003698609066409811
2020-12-12,0.0036973376060178706
2020-12-13,0.003696066145625931
2020-12-14,0.003615853250286802
2020-12-15,0.0037879012212111663
2020-12-16,0.003755596296833385
2020-12-17,0.0037196159637439847
2020-12-18,0.00370850797056898
2020-12-19,0.0037072261085988475
2020-12-20,0.0037059442466287167
2020-12-21,0.0036040319952637006
2020-12-22,0.0036211571757136254
2020-12-23,0.0037038023095693883
2020-12-24,0.003632274208348331
2020-12-25,0.00363116909451959
2020-12-26,0.0036300639806908473
2020-12-27,0.0036289588668621062
2020-12-28,0.0036779298731900666
2020-12-29,0.0036479633404203106
2020-12-30,0.003700341519435548
2020-12-31,0.003652498514424787
2021-01-01,0.003651358580884504
2021-01-02,0.0036502186473442227
2021-01-03,0.00364907871380394
2021-01-04,0.0036464297612359984
2021-01-05,0.003819922852015367
2021-01-06,0.003958348125213889
2021-01-07,0.0039214159455072855
2021-01-08,0.0038933901108493107
2021-01-09,0.003892433930594607
2021-01-10,0.003891477750339903
2021-01-11,0.0039136908178593905
2021-01-12,0.003944640645999
2021-01-13,0.0038815858478250947
2021-01-14,0.0037516324575942936
2021-01-15,0.0037870857302875144
2021-01-16,0.003786401996879377
2021-01-17,0.0037857182634712383
2021-01-18,0.0037850345300631007
2021-01-19,0.0037320829897670147
2021-01-20,0.0038657858413763107
2021-01-21,0.0037827136001906026
2021-01-22,0.0037714605104178333
2021-01-23,0.0037707292041064665
2021-01-24,0.0037699978977950993
2021-01-25,0.0038197244824199087
2021-01-26,0.0037908980564878114
2021-01-27,0.0037078377023734245
2021-01-28,0.003987116198738341
2021-01-29,0.003827978824637617
2021-01-30,0.0038267658590061234
2021-01-31,0.003825552893374632
2021-02-01,0.0037403113569096235
2021-02-02,0.0037462342893245654
2021-02-03,0.003732499598533911
2021-02-04,0.0037509785823550347
2021-02-05,0.0036996472746766117
2021-02-06,0.0036990006129681815
2021-02-07,0.003698353951259752
2021-02-08,0.0037776932605233997
2021-02-09,0.0036938201360768976
2021-02-10,0.0036775707493192002
2021-02-11,0.003775322451669055
2021-02-12,0.003632927408205895
2021-02-13,0.003632720605536221
2021-02-14,0.0036325138028665462
2021-02-15,0.003632307000196872
2021-02-16,0.0035975915280605326
2021-02-17,0.0035857723359182646
2021-02-18,0.0036464632197786527
2021-02-19,0.003633836656459855
