Date,UBS - WFC Accumulated Oriented Area
2021-04-11,0.004181153603291507
2021-04-12,0.0041718431818814836
2021-04-13,0.00413090912770696
2021-04-14,0.0040874692388701015
2021-04-15,0.004087175873632776
2021-04-16,0.004071010740650143
2021-04-17,0.004070635172704687
2021-04-18,0.004070259604759231
2021-04-19,0.004058232755513236
2021-04-20,0.004064431280335001
2021-04-21,0.004034287205840449
2021-04-22,0.0040297292012000455
2021-04-23,0.004000936485427337
2021-04-24,0.004000580597245233
2021-04-25,0.004000224709063129
2021-04-26,0.00399416732591251
2021-04-27,0.003954287753496642
2021-04-28,0.003970028598680729
2021-04-29,0.00393913416957951
2021-04-30,0.003962774240106982
2021-05-01,0.003962531407803097
2021-05-02,0.00396228857549921
2021-05-03,0.003951408959063482
2021-05-04,0.0039278592164495715
2021-05-05,0.003934086554711572
2021-05-06,0.003922792875689382
2021-05-07,0.0039284325906229645
2021-05-08,0.003928314292989542
2021-05-09,0.0039281959953561185
2021-05-10,0.00391714956089865
2021-05-11,0.0039359101583406175
2021-05-12,0.003932744056557497
2021-05-13,0.003916115356962997
2021-05-14,0.0039037471638939383
2021-05-15,0.0039036735882621377
2021-05-16,0.003903600012630336
2021-05-17,0.003877614944410828
2021-05-18,0.003906717437689418
2021-05-19,0.003926860015955566
2021-05-20,0.0039471685155693164
2021-05-21,0.003947391571817548
2021-05-22,0.003947211871112969
2021-05-23,0.003947032170408391
2021-05-24,0.00394154504092801
2021-05-25,0.003945265766760128
2021-05-26,0.003935837974874732
2021-05-27,0.003935019270867901
2021-05-28,0.0039387692909113115
2021-05-29,0.003938654471299223
2021-05-30,0.003938539651687136
2021-05-31,0.003938424832075048
2021-06-01,0.0039309336776871765
2021-06-02,0.003937637050982024
2021-06-03,0.003945747996372231
2021-06-04,0.003935861483247079
2021-06-05,0.003935765942871042
2021-06-06,0.003935670402495005
2021-06-07,0.0039329132314255225
2021-06-08,0.003941441186180502
2021-06-09,0.003949754334345337
2021-06-10,0.003964324095164564
2021-06-11,0.003953308001677503
2021-06-12,0.003953101751679857
2021-06-13,0.003952895501682212
2021-06-14,0.003965259195878164
2021-06-15,0.003963071721323727
2021-06-16,0.003952869574451779
2021-06-17,0.004007787983365733
2021-06-18,0.004008630434701622
2021-06-19,0.004008063641280056
2021-06-20,0.004007496847858492
2021-06-21,0.003959162597848025
2021-06-22,0.003936911880592313
2021-06-23,0.003926239646679699
2021-06-24,0.0038944183835163543
2021-06-25,0.0038572468491634
2021-06-26,0.003857116857637761
2021-06-27,0.0038569868661121223
2021-06-28,0.003871570895529203
2021-06-29,0.0039026482403615877
2021-06-30,0.0038772758838629675
2021-07-01,0.003878539377211954
2021-07-02,0.0038877398912053676
2021-07-03,0.0038874961188770122
2021-07-04,0.003887252346548657
2021-07-05,0.003887008574220302
2021-07-06,0.0039351276299767046
2021-07-07,0.00393023908933125
2021-07-08,0.003946519303757621
2021-07-09,0.003894205422971298
2021-07-10,0.0038938625759189502
2021-07-11,0.0038935197288666036
2021-07-12,0.0038901774312171955
2021-07-13,0.003927174708048583
2021-07-14,0.003854073351137349
2021-07-15,0.0038485419339715755
2021-07-16,0.0038716991004107562
2021-07-17,0.003871394035902511
2021-07-18,0.003871088971394266
2021-07-19,0.003908419124702451
2021-07-20,0.003874080535610704
2021-07-21,0.0038631757118892484
2021-07-22,0.0038836466157959717
2021-07-23,0.003910281492468012
2021-07-24,0.003909980992871572
2021-07-25,0.003909680493275131
2021-07-26,0.003911642503872575
2021-07-27,0.003907877715174567
2021-07-28,0.003896299557717804
2021-07-29,0.0038831899634917625
2021-07-30,0.003894406546740054
2021-07-31,0.0038942188150164316
2021-08-01,0.0038940310832928098
2021-08-02,0.003899375171720055
2021-08-03,0.0038818612214028946
2021-08-04,0.003893178771392126
2021-08-05,0.0038793540757993935
2021-08-06,0.0038482123346729722
2021-08-07,0.0038482661747564766
2021-08-08,0.0038483200148399805
2021-08-09,0.0038505383158035952
2021-08-10,0.0038333777347700033
2021-08-11,0.0038147086793012056
2021-08-12,0.003808147020783176
2021-08-13,0.0038178063332579802
2021-08-14,0.003817990528904914
2021-08-15,0.003818174724551848
2021-08-16,0.003833351266715934
2021-08-17,0.003846559012399956
2021-08-18,0.00386036939290984
2021-08-19,0.0038732498336040136
2021-08-20,0.0038699816795754113
2021-08-21,0.0038699237196342232
2021-08-22,0.0038698657596930356
2021-08-23,0.003867130740938213
2021-08-24,0.0038526946008983227
2021-08-25,0.003835181065511613
2021-08-26,0.0038420924497170467
2021-08-27,0.003825470607206924
2021-08-28,0.00382561260927955
2021-08-29,0.0038257546113521757
2021-08-30,0.0038557872571026424
2021-08-31,0.00391702119230655
2021-09-01,0.003974397695981216
2021-09-02,0.003947306106240807
2021-09-03,0.003955742585174758
2021-09-04,0.003955384904478873
2021-09-05,0.003955027223782987
2021-09-06,0.0039546695430871005
2021-09-07,0.00395038154992291
2021-09-08,0.003954366166206306
2021-09-09,0.003934655589400584
2021-09-10,0.00393686290092914
2021-09-11,0.003936524454141168
2021-09-12,0.003936186007353196
2021-09-13,0.003908698612412967
2021-09-14,0.0038956605378807517
2021-09-15,0.0038850204774282028
2021-09-16,0.003894204370325705
2021-09-17,0.0038789254202220755
2021-09-18,0.003878787691831285
2021-09-19,0.003878649963440494
2021-09-20,0.0038684061879329765
2021-09-21,0.003861683645509047
2021-09-22,0.003819655190878791
2021-09-23,0.0037951552290736304
2021-09-24,0.003791621567180744
2021-09-25,0.0037916240706521586
2021-09-26,0.003791626574123573
2021-09-27,0.0038067656358528918
2021-09-28,0.003857695316154836
2021-09-29,0.0038248481467086535
2021-09-30,0.003840859441777946
2021-10-01,0.0038186571612789117
2021-10-02,0.0038185789048525262
2021-10-03,0.0038185006484261403
2021-10-04,0.0038190661387739696
2021-10-05,0.003790398280111784
