Date,UBS - TFC Accumulated Oriented Area
2019-06-11,0.00037088740459712764
2019-06-12,0.0004111793543528229
2019-06-13,0.00041360961784297313
2019-06-14,0.0004232617612659182
2019-06-15,0.00042380664771104635
2019-06-16,0.00042435153415617605
2019-06-17,0.0004762725924577486
2019-06-18,0.000437274515685854
2019-06-19,0.00043782315264239476
2019-06-20,0.0004501345526581494
2019-06-21,0.0004671241149790821
2019-06-22,0.00046752803213121776
2019-06-23,0.00046793194928335336
2019-06-24,0.000471419978920251
2019-06-25,0.0004867485603595207
2019-06-26,0.0004864492652636123
2019-06-27,0.00046696991568668253
2019-06-28,0.0004339572540507301
2019-06-29,0.00043442824387724435
2019-06-30,0.00043489923370375794
2019-07-01,0.0004147368406897994
2019-07-02,0.0004365438467168027
2019-07-03,0.00042102756618113
2019-07-04,0.0004215020304550905
