Date,UBS - JPM Accumulated Oriented Area
2020-11-16,0.0022023484738397884
2020-11-17,0.002214268745559685
2020-11-18,0.0022416146330395234
2020-11-19,0.0022280816398929167
2020-11-20,0.002249300827140273
2020-11-21,0.002249845638000686
2020-11-22,0.002250390448861099
2020-11-23,0.0021830706550156316
2020-11-24,0.002076991453924879
2020-11-25,0.00211315075428069
2020-11-26,0.002114074861333596
2020-11-27,0.002135565565088515
2020-11-28,0.002136459402802073
2020-11-29,0.0021373532405156307
2020-11-30,0.002236021247252906
2020-12-01,0.002174286387309309
2020-12-02,0.0021297326634728215
2020-12-03,0.002148958777333964
2020-12-04,0.002135061017237731
2020-12-05,0.002136038198756702
2020-12-06,0.002137015380275672
2020-12-07,0.0021437554278926014
2020-12-08,0.0021462666190794257
2020-12-09,0.0021646560492963205
2020-12-10,0.0022054595755586484
2020-12-11,0.002238641265474959
2020-12-12,0.002239564356484495
2020-12-13,0.002240487447494031
2020-12-14,0.0022740922287412726
2020-12-15,0.002202635323353027
2020-12-16,0.0022033332645379333
2020-12-17,0.002234839293731667
2020-12-18,0.0022532419740326076
2020-12-19,0.002254117452344029
2020-12-20,0.00225499293065545
2020-12-21,0.002167907718642864
2020-12-22,0.0022317332516984282
2020-12-23,0.002099173626624304
2020-12-24,0.002119067615046751
2020-12-25,0.002120238117789386
2020-12-26,0.0021214086205320207
2020-12-27,0.002122579123274655
2020-12-28,0.0021034862049810316
2020-12-29,0.0021085262801109556
2020-12-30,0.0021078859438882986
2020-12-31,0.002060427539757441
2021-01-01,0.002061720434100696
2021-01-02,0.0020630133284439507
2021-01-03,0.0020643062227872055
2021-01-04,0.002070337047060511
2021-01-05,0.0020354289210144758
2021-01-06,0.0018698510580140602
2021-01-07,0.001739477105209077
2021-01-08,0.0017901141584267637
2021-01-09,0.0017916291876606853
2021-01-10,0.0017931442168946069
2021-01-11,0.0017832872623905706
2021-01-12,0.0017301390768693153
2021-01-13,0.0017900986162411015
2021-01-14,0.0017500034665592027
2021-01-15,0.0018092878920565772
2021-01-16,0.0018109605515131925
2021-01-17,0.0018126332109698062
2021-01-18,0.00181430587042642
2021-01-19,0.0018764291504642636
2021-01-20,0.0018985137142577813
2021-01-21,0.0019214414369460447
2021-01-22,0.001948916192262686
2021-01-23,0.0019504007040702638
2021-01-24,0.0019518852158778449
2021-01-25,0.002047290808996749
2021-01-26,0.0019869523685321633
2021-01-27,0.002113458643779954
2021-01-28,0.0019948417260615588
2021-01-29,0.002131230292533099
2021-01-30,0.0021325531287842894
2021-01-31,0.002133875965035479
2021-02-01,0.0020781349520665997
2021-02-02,0.0019737857902070895
2021-02-03,0.0019328969164092104
2021-02-04,0.0018774151172519515
2021-02-05,0.001892159577066087
2021-02-06,0.0018938393833991237
2021-02-07,0.0018955191897321606
2021-02-08,0.0017741238373089625
2021-02-09,0.0017827809320289526
2021-02-10,0.0017631141057869195
2021-02-11,0.0017988790218070646
2021-02-12,0.0017527569796851837
2021-02-13,0.0017545019971776622
2021-02-14,0.0017562470146701406
