Date,MS - IBKR Accumulated Oriented Area
2019-07-01,-4.813140655609172e-06
2019-07-02,-1.7439484827866012e-06
2019-07-03,-5.100667863760418e-06
2019-07-04,-5.370758059072001e-06
2019-07-05,-9.664687695539885e-06
2019-07-06,-9.794411717572451e-06
2019-07-07,-9.924135739605152e-06
2019-07-08,-5.241067807392499e-06
2019-07-09,-7.802391562177719e-06
2019-07-10,-5.600664879435336e-06
2019-07-11,8.964011470466264e-06
2019-07-12,2.6421655344207893e-05
2019-07-13,2.5843592262801847e-05
2019-07-14,2.5265529181395734e-05
2019-07-15,1.8161813111104656e-05
2019-07-16,2.2055425541615934e-05
2019-07-17,6.1255150683527825e-06
2019-07-18,2.3396403673969364e-05
2019-07-19,2.4023026690478397e-05
2019-07-20,2.3083162351523144e-05
2019-07-21,2.2143298012567905e-05
2019-07-22,2.725114010849352e-05
2019-07-23,4.5099302916644916e-05
2019-07-24,5.9129488446510475e-05
2019-07-25,3.457927309002819e-05
2019-07-26,6.17004207651839e-05
2019-07-27,6.081016101743725e-05
2019-07-28,5.991990126968999e-05
2019-07-29,4.2610230091716324e-05
2019-07-30,2.0612189734095648e-05
2019-07-31,1.4465217601124692e-05
2019-08-01,-3.403244225057939e-05
2019-08-02,-4.767496634877005e-05
2019-08-03,-4.8305380532229905e-05
2019-08-04,-4.8935794715689955e-05
2019-08-05,-8.584362462700628e-05
2019-08-06,-4.656104206357057e-05
2019-08-07,-5.7971971854065944e-05
2019-08-08,-3.639412495943157e-05
2019-08-09,-3.4355365933076903e-07
2019-08-10,-1.310098734969027e-06
2019-08-11,-2.276643810606694e-06
2019-08-12,-1.615841457488262e-05
2019-08-13,-1.816170494332153e-05
2019-08-14,-7.109439649512254e-05
2019-08-15,-9.402309860203554e-05
2019-08-16,-9.088915440346987e-05
2019-08-17,-9.183688706559836e-05
2019-08-18,-9.27846197277277e-05
2019-08-19,-0.00010140571997358087
2019-08-20,-9.569740952683738e-05
2019-08-21,-9.528574993424413e-05
2019-08-22,-6.774839837213356e-05
2019-08-23,-8.361773848782236e-05
2019-08-24,-8.472992028306291e-05
2019-08-25,-8.584210207830343e-05
2019-08-26,1.4623408691571618e-05
2019-08-27,-3.620466479671615e-05
2019-08-28,-1.0257853228590367e-05
2019-08-29,3.1582640561456915e-05
2019-08-30,4.670386155600981e-06
2019-08-31,3.6361941690945775e-06
2019-09-01,2.602002182588296e-06
2019-09-02,1.567810196082582e-06
2019-09-03,-3.378727837313602e-05
2019-09-04,-1.2132592165803973e-06
2019-09-05,2.4116521045046635e-05
2019-09-06,-1.3238792033528208e-05
