Date,UBS - BNPQY Accumulated Oriented Area
2019-12-11,-5.5670859806785896e-05
2019-12-12,-0.00019042518452694687
2019-12-13,-0.00022600951792499597
2019-12-14,-0.0002244956923325876
2019-12-15,-0.00022298186674017938
2019-12-16,-0.0002965366245497043
2019-12-17,-0.0003293536160831929
2019-12-18,-0.00029679113543547395
2019-12-19,-0.00030315324371881755
2019-12-20,-0.0002765060480739949
2019-12-21,-0.0002749281205564024
2019-12-22,-0.0002733501930388097
2019-12-23,-0.000279179975572817
2019-12-24,-0.0002525038695496122
2019-12-25,-0.0002509976926192918
2019-12-26,-0.00027878429143185333
2019-12-27,-0.0002902190111233684
2019-12-28,-0.0002886663080589815
2019-12-29,-0.00028711360499459606
2019-12-30,-0.00030641918317174263
2019-12-31,-0.00031214813066826147
2020-01-01,-0.00031058635811255085
2020-01-02,-0.00041676244010947544
2020-01-03,-0.00032890304164235354
2020-01-04,-0.00032740739793059797
2020-01-05,-0.00032591175421884294
2020-01-06,-0.00032383978738325547
2020-01-07,-0.000363353893319924
2020-01-08,-0.00040011327098959796
2020-01-09,-0.00039286245620431657
2020-01-10,-0.0003522815679022106
2020-01-11,-0.0003509429394009975
2020-01-12,-0.00034960431089978443
2020-01-13,-0.0003725636289442726
2020-01-14,-0.0003782091254341088
2020-01-15,-0.00033639995597270966
2020-01-16,-0.00035003558042814745
2020-01-17,-0.000336115456216249
2020-01-18,-0.00033495524165892454
2020-01-19,-0.00033379502710160006
2020-01-20,-0.0003326348125442758
2020-01-21,-0.00020208125095117413
2020-01-22,-0.0002507493815015647
2020-01-23,-0.0002549054568665436
2020-01-24,-0.0001976227494493023
2020-01-25,-0.00019650408128675235
2020-01-26,-0.00019538541312420223
2020-01-27,-0.00013119123637670468
2020-01-28,-0.00015283199548311822
2020-01-29,-0.00015740169579336595
2020-01-30,-0.00017041307447164257
2020-01-31,-7.892155756009708e-05
2020-02-01,-7.793070085475621e-05
2020-02-02,-7.693984414941469e-05
2020-02-03,-7.87017454501185e-05
2020-02-04,-0.00014651754633831425
2020-02-05,-0.00020026566748881702
2020-02-06,-0.00023524321198196334
2020-02-07,-0.00028710928948802645
2020-02-08,-0.00028588725204831237
2020-02-09,-0.00028466521460859926
2020-02-10,-0.0003042236184815974
2020-02-11,-0.00034874079682617606
2020-02-12,-0.0004084709960946026
2020-02-13,-0.00036420164039747255
2020-02-14,-0.00035112653440326594
2020-02-15,-0.0003497822452040116
2020-02-16,-0.00034843795600475724
2020-02-17,-0.00034709366680550413
2020-02-18,-0.0003474636665699494
2020-02-19,-0.0003469788748327297
2020-02-20,-0.00035614573438064916
2020-02-21,-0.0002949657404542602
2020-02-22,-0.00029363224057628345
2020-02-23,-0.00029229874069830664
