Date,UBS - MUFG Accumulated Oriented Area
2019-06-08,0.00015514466099464115
2019-06-09,0.00015494464519436355
2019-06-10,0.00015337847575360466
2019-06-11,0.00013708780276494754
2019-06-12,0.00014759185596230448
2019-06-13,0.0001507088100397408
2019-06-14,0.00015483287875030037
2019-06-15,0.00015460608624387402
2019-06-16,0.00015437929373744732
2019-06-17,0.00013074795949397436
2019-06-18,0.00013109926586064846
2019-06-19,0.00016790955924892592
2019-06-20,0.00014024936981490952
2019-06-21,0.00014396310049000124
2019-06-22,0.00014376817204448205
2019-06-23,0.00014357324359896227
2019-06-24,0.00014671110729778936
2019-06-25,0.0001271847135701819
2019-06-26,0.00011245433637836481
2019-06-27,0.00013553604767526885
2019-06-28,0.00011578258723547873
2019-06-29,0.00011567956050390643
2019-06-30,0.00011557653377233409
2019-07-01,0.00010111647408499698
