Date,UBS - HSBC Accumulated Oriented Area
2020-01-25,0.0003671852008630942
2020-01-26,0.00036674330326604964
2020-01-27,0.00040763544297077025
2020-01-28,0.00039324858345771797
2020-01-29,0.00040030234300150855
2020-01-30,0.0003846520025624563
2020-01-31,0.0004110068365818585
2020-02-01,0.000410368856012337
2020-02-02,0.0004097308754428139
2020-02-03,0.0004196535796923493
2020-02-04,0.00040175335867143026
2020-02-05,0.00040131789708737096
2020-02-06,0.00040285916125320115
2020-02-07,0.0003984675915365685
2020-02-08,0.0003980172810010153
2020-02-09,0.00039756697046546333
2020-02-10,0.00039775517366079176
2020-02-11,0.00036973600901416345
2020-02-12,0.0003644224421914221
2020-02-13,0.00037171010365220724
2020-02-14,0.00037829250947974595
2020-02-15,0.00037794382646084935
2020-02-16,0.00037759514344195205
2020-02-17,0.0003772464604230557
2020-02-18,0.00046809349756357166
2020-02-19,0.0004507765654647029
2020-02-20,0.00046370795565066683
2020-02-21,0.00042077463217657797
2020-02-22,0.00042020421103911
2020-02-23,0.00041963378990164283
2020-02-24,0.0004054453569998494
2020-02-25,0.0004008126663540351
2020-02-26,0.0003218121941637501
2020-02-27,0.00042230878862831677
2020-02-28,0.00039507007426116896
2020-02-29,0.0003939115741137814
2020-03-01,0.000392753073966392
2020-03-02,0.0004195156779359709
2020-03-03,0.0004821335347521213
2020-03-04,0.0004504733520094629
2020-03-05,0.0003889980973691985
2020-03-06,0.00042656601860408493
2020-03-07,0.00042515078866207115
2020-03-08,0.00042373555872005954
2020-03-09,0.00036315689081753747
2020-03-10,0.0003860391723119208
2020-03-11,0.000347716373560311
2020-03-12,0.0003810442500884288
2020-03-13,0.0004097127831899224
2020-03-14,0.0004077631022680482
2020-03-15,0.00040581342134617533
2020-03-16,0.0001699667872768877
2020-03-17,9.654350815216329e-05
2020-03-18,0.000254613472908868
2020-03-19,0.0003301486998082369
2020-03-20,0.0002307748921359736
2020-03-21,0.00022852951441942437
2020-03-22,0.00022628413670287384
2020-03-23,0.00027977289140625975
2020-03-24,0.00041854574061952495
2020-03-25,0.0004973908982501602
2020-03-26,0.0006661124935639662
2020-03-27,0.0007092732193866884
2020-03-28,0.0007071699087086124
2020-03-29,0.0007050665980305388
2020-03-30,0.0007759678868773893
2020-03-31,0.0008387186695312238
2020-04-01,0.0013484553018629278
2020-04-02,0.0015833726251616954
2020-04-03,0.0015224363931645435
2020-04-04,0.0015193817798053299
2020-04-05,0.0015163271664461121
2020-04-06,0.0017055424353181637
2020-04-07,0.0016809961805024124
2020-04-08,0.0015831428845889184
2020-04-09,0.001670304567065445
2020-04-10,0.0016678715060746312
2020-04-11,0.0016654384450838144
2020-04-12,0.0016630053840930002
2020-04-13,0.001547446378738575
2020-04-14,0.0015581277956141038
2020-04-15,0.0015900964891877316
2020-04-16,0.0015026820854191782
2020-04-17,0.0016030840934540568
2020-04-18,0.0016004521490124814
2020-04-19,0.0015978202045709038
2020-04-20,0.001714747948840539
2020-04-21,0.0016537771666642871
2020-04-22,0.0015609413756010897
2020-04-23,0.00161306516147646
2020-04-24,0.0016696579571339482
2020-04-25,0.0016668012550288974
2020-04-26,0.0016639445529238474
2020-04-27,0.001685589579243166
2020-04-28,0.001977543545637392
2020-04-29,0.0021853545980184876
2020-04-30,0.002211675548763277
2020-05-01,0.002091360479888567
2020-05-02,0.0020886610539201053
2020-05-03,0.002085961627951642
2020-05-04,0.002056252599208464
2020-05-05,0.0017134064480310422
2020-05-06,0.0016894888627569029
2020-05-07,0.001711576231600933
2020-05-08,0.0017080736760223681
2020-05-09,0.0017054049430867489
2020-05-10,0.0017027362101511314
2020-05-11,0.0016150427530009434
2020-05-12,0.0016248361188255847
2020-05-13,0.0016088591103697758
2020-05-14,0.0015946405968594837
2020-05-15,0.001580021236746479
2020-05-16,0.0015770109979524186
2020-05-17,0.001574000759158361
2020-05-18,0.001787541380905393
2020-05-19,0.0017950838364629176
2020-05-20,0.00189115156218038
2020-05-21,0.0020101385847465124
2020-05-22,0.0022194553149419097
2020-05-23,0.0022161997536693694
2020-05-24,0.0022129441923968264
2020-05-25,0.0022096886311242865
2020-05-26,0.002397374695467982
2020-05-27,0.0025997665227409676
2020-05-28,0.0026552071250867293
2020-05-29,0.002730271455397475
2020-05-30,0.002727116160969988
2020-05-31,0.0027239608665425023
2020-06-01,0.002667903106232535
2020-06-02,0.0027590147940675727
2020-06-03,0.0028360804645416885
