Date,UBS - SMFG Accumulated Oriented Area
2019-06-09,0.0003745628666590154
2019-06-10,0.0003788275545199061
2019-06-11,0.0003727576081475838
2019-06-12,0.0003992554917611231
2019-06-13,0.0004092364658384056
2019-06-14,0.00042285020627772993
2019-06-15,0.00042317670213070594
2019-06-16,0.0004235031979836814
2019-06-17,0.00044317865871920973
2019-06-18,0.0003631445111268761
2019-06-19,0.0003940802963599288
2019-06-20,0.0003753841849980744
2019-06-21,0.0003858702974974457
2019-06-22,0.0003862777619707284
2019-06-23,0.0003866852264440111
2019-06-24,0.00039439518254750247
2019-06-25,0.0004066001192755947
2019-06-26,0.0003770861926317987
2019-06-27,0.0003689040927045839
2019-06-28,0.00034310699482389403
2019-06-29,0.0003435941318216186
2019-06-30,0.00034408126881934253
2019-07-01,0.00035576016752703743
2019-07-02,0.0003330696846527197
