Date,UBS - BNS Accumulated Oriented Area
2019-06-11,0.00034215739567133684
2019-06-12,0.00037413827280336365
2019-06-13,0.00037409285903665303
2019-06-14,0.00038514214173053334
2019-06-15,0.0003855216148565117
2019-06-16,0.00038590108798249034
2019-06-17,0.00038957624797172745
2019-06-18,0.00035538901499117807
2019-06-19,0.00033131653540934794
2019-06-20,0.000313090295222225
2019-06-21,0.0003248701822141008
2019-06-22,0.00032541125802364423
2019-06-23,0.00032595233383318675
2019-06-24,0.0003138556808370928
2019-06-25,0.00033040152748651066
2019-06-26,0.00031898232164448805
2019-06-27,0.00030793199875611373
2019-06-28,0.00030085464339496266
2019-06-29,0.00030140630645665855
2019-06-30,0.00030195796951835443
2019-07-01,0.0003189567476353402
2019-07-02,0.0003109664609320996
2019-07-03,0.0002891757610012203
2019-07-04,0.0002897272777323341
