Date,UBS - ISNPY Accumulated Oriented Area
2019-05-13,0.0003109891317085825
2019-05-14,0.00026783596152741564
2019-05-15,0.00029447039788308067
2019-05-16,0.00023641773239352045
2019-05-17,0.00023107408018436658
2019-05-18,0.00023179574470953728
2019-05-19,0.00023251740923470874
2019-05-20,0.00038858849110327956
2019-05-21,0.0003904601424043623
2019-05-22,0.00042272379635955654
2019-05-23,0.0004542764861252983
2019-05-24,0.00042797064762427
2019-05-25,0.00042792111811425394
2019-05-26,0.00042787158860423796
2019-05-27,0.00042782205909422204
2019-05-28,0.0004728350520664462
2019-05-29,0.0004890910266963142
2019-05-30,0.0004933117148443647
2019-05-31,0.0005091844289712461
2019-06-01,0.0005088148981476282
2019-06-02,0.0005084453673240105
2019-06-03,0.0005119395311523104
2019-06-04,0.00047307077915258525
2019-06-05,0.0005046769323959071
2019-06-06,0.0005151773993628781
2019-06-07,0.0005036825004047928
2019-06-08,0.0005033853090083374
2019-06-09,0.0005030881176118822
2019-06-10,0.000501317738963265
2019-06-11,0.0005024151946380345
2019-06-12,0.0005035395444075012
2019-06-13,0.0004992128933464091
2019-06-14,0.0004900302998145234
2019-06-15,0.0004897142690897698
2019-06-16,0.0004893982383650148
2019-06-17,0.0005077079907159257
2019-06-18,0.0004639792191891153
2019-06-19,0.0004397137844539318
2019-06-20,0.00042260954238434355
2019-06-21,0.00043711959048111195
2019-06-22,0.00043697424243976794
2019-06-23,0.00043682889439842294
2019-06-24,0.000437589543365552
2019-06-25,0.00044218984719615747
